name,PFRID
Jonnu Smith,/players/S/SmitJo01.htm
Tommy Tremble,/players/T/TremTo00.htm
Tevin Coleman,/players/C/ColeTe01.htm
River Cracraft,/players/C/CracRi00.htm
KJ Hamler,/players/H/HamlKJ00.htm
Kadarius Toney,/players/T/ToneKa00.htm
Ty Johnson,/players/J/JohnTy02.htm
Scott Miller,/players/M/MillSc01.htm
Zach Pascal,/players/P/PascZa00.htm
Khalil Shakir,/players/S/ShakKh00.htm
Durham Smythe,/players/S/SmytDu00.htm
Brock Wright,/players/W/WrigBr01.htm
John Bates,/players/B/BateJo00.htm
David Bell,/players/B/BellDa02.htm
Sam Darnold,/players/D/DarnSa00.htm
Ashton Dulin,/players/D/DuliAs00.htm
Ross Dwelley,/players/D/DwelRo00.htm
Trenton Irwin,/players/I/IrwiTr00.htm
Johnny Mundt,/players/M/MundJo00.htm
Hunter Renfrow,/players/R/RenfHu00.htm
Eric Saubert,/players/S/SaubEr00.htm
Boston Scott,/players/S/ScotBo02.htm
Ian Thomas,/players/T/ThomIa00.htm
Darrel Williams,/players/W/WillDa10.htm
Sony Michel,/players/M/MichSo00.htm
Dare Ogunbowale,/players/O/OgunDa00.htm
Raheem Blackshear,/players/B/BlacRa00.htm
Brandon Bolden,/players/B/BoldBr00.htm
Skyy Moore,/players/M/MoorSk01.htm
Bryce Perkins,/players/P/PerkBr02.htm
MyCole Pruitt,/players/P/PruiMy00.htm
Anthony Schwartz,/players/S/SchwAn00.htm
Shi Smith,/players/S/SmitSh03.htm
Mike Boone,/players/B/BoonMi00.htm
Cameron Brate,/players/B/BratCa00.htm
Sam Ehlinger,/players/E/EhliSa00.htm
Zander Horvath,/players/H/HorvZa00.htm
Keaontay Ingram,/players/I/IngrKe01.htm
Tom Kennedy,/players/K/KennTo01.htm
Denzel Mims,/players/M/MimsDe00.htm
Samori Toure,/players/T/TourSa00.htm
Kyren Williams,/players/W/WillKy02.htm
Gary Brightwell,/players/B/BrigGa00.htm
Tanner Hudson,/players/H/HudsTa00.htm
Chris Myarick,/players/M/MyarCh00.htm
Breshad Perriman,/players/P/PerrBr02.htm
Jalen Reagor,/players/R/ReagJa00.htm
Benny Snell Jr.,/players/S/SnelBe00.htm
Reggie Gilliam,/players/G/GillRe00.htm
Isaiah Hodgins,/players/H/HodgIs00.htm
Ko Kieft,/players/K/KiefKo00.htm
Trey Lance,/players/L/LancTr00.htm
Byron Pringle,/players/P/PrinBy00.htm
Dan Arnold,/players/A/ArnoDa00.htm
Pharaoh Brown,/players/B/BrowPh01.htm
Lawrence Cager,/players/C/CageLa01.htm
Malik Davis,/players/D/DaviMa02.htm
Josiah Deguara,/players/D/DeguJo00.htm
Jordan Love,/players/L/LoveJo03.htm
James Mitchell,/players/M/MitcJa00.htm
Zack Moss,/players/M/MossZa00.htm
David Sills,/players/S/SillDa01.htm
Geoff Swaim,/players/S/SwaiGe00.htm
Jalen Virgil,/players/V/VirgJa00.htm
Kyle Allen,/players/A/AlleKy00.htm
Zach Gentry,/players/G/GentZa00.htm
N'Keal Harry,/players/H/HarrNK00.htm
Zonovan Knight,/players/K/KnigZo00.htm
Dax Milne,/players/M/MilnDa00.htm
Brandon Powell,/players/P/PoweBr00.htm
Trevor Siemian,/players/S/SiemTr00.htm
C.J. Uzomah,/players/U/UzomC.00.htm
Cedrick Wilson Jr.,/players/W/WilsCe01.htm
DeeJay Dallas,/players/D/DallDe00.htm
C.J. Ham,/players/H/HamxC.00.htm
DeSean Jackson,/players/J/JackDe00.htm
Velus Jones Jr.,/players/J/JoneVe00.htm
Phillip Lindsay,/players/L/LindPh00.htm
Patrick Ricard,/players/R/RicaPa00.htm
Armani Rogers,/players/R/RogeAr00.htm
John Wolford,/players/W/WolfJo00.htm
Keelan Cole,/players/C/ColeKe00.htm
Connor Heyward,/players/H/HeywCo00.htm
Marcedes Lewis,/players/L/LewiMa00.htm
Teagan Quitoriano,/players/Q/QuitTe00.htm
Brett Rypien,/players/R/RypiBr00.htm
Cam Sims,/players/S/SimsCa00.htm
Derek Watt,/players/W/WattDe00.htm
Jonathan Williams,/players/W/WillJo07.htm
Michael Bandy,/players/B/BandMi00.htm
D'Wayne Eskridge,/players/E/EskrDW00.htm
Darrynton Evans,/players/E/EvanDa02.htm
Brandon Johnson,/players/J/JohnBr23.htm
Ty Montgomery,/players/M/MontTy01.htm
Kene Nwangwu,/players/N/NwanKe00.htm
Giovanni Ricci,/players/R/RiccGi00.htm
Skylar Thompson,/players/T/ThomSk00.htm
Kevin White,/players/W/WhitKe00.htm
Andrew Beck,/players/B/BeckAn01.htm
Malcolm Brown,/players/B/BrowMa03.htm
Jamison Crowder,/players/C/CrowJa00.htm
